Job Title,Employer,Location,Salary,Remote Work(Y/N),Cleaned Salary,City,Region
Account Management Support,Avanti,"Reading, Berkshire","£25,000 - £35,000 per annum",Y,25000.0,Reading,Berkshire
Tech Lead / Lead Developer,Ada Meher,"Leeds, West Yorkshire",Competitive salary,Y,,Leeds,West Yorkshire
"IT Manager  up to £60,000",Pearson Carter,London,"£40,000 - £60,000 per annum",Y,40000.0,London,United Kindgom
IT Helpdesk Technician Apprentice,QA,"Hednesford, Staffordshire","£16,234.40 per annum",N,16234.0,Hednesford,Staffordshire
Systems and Support Technician,Bishop Fleming,"Bristol, Avon",Competitive salary,N,,Bristol,Avon
Design for Implementation Specialist,DS Smith,"Neath, West Glamorgan",Salary negotiable,N,,Neath,West Glamorgan
Tech Lead,SR2,"Bristol, Avon","£70,000 - £90,000 per annum",N,70000.0,Bristol,Avon
Technical Lead,Zenzo Digital,"Bristol, Avon","£70,000 - £85,000 per annum",Y,70000.0,Bristol,Avon
"Development Manager, Microsoft Stack, .NET, C#, Azure, Mainly",Carrington Recruitment Solutions Ltd,London,"£90,000 - £100,000 per annum, negotiable",Y,90000.0,London,United Kindgom
Director of Technology,SR2,"Wrexham, Clwyd","£140,000 - £160,000 per annum",Y,140000.0,Wrexham,Clwyd
"Development Manager, .NET, C#, Azure, Microsoft Stack,",Carrington Recruitment Solutions Ltd,London,"£90,000 - £110,000 per annum, negotiable",Y,90000.0,London,United Kindgom
"IT PMO Governance Manager, Project & Product, Waterfall, Agile,",Carrington Recruitment Solutions Ltd,London,"£75,000 - £82,500 per annum, negotiable",Y,75000.0,London,United Kindgom
Internal Tech Specialist,Tanager Wealth Management,"City of London, London","£35,000 - £45,000 per annum",N,35000.0,City of London,London
Data Scientist,INTEC SELECT LIMITED,"City of London, London",£450 - £500 per day,N,450.0,City of London,London
Lead Full Stack Engineer Top Start Up!,Robert Half,London,"£80,000 - £100,000 per annum",Y,80000.0,London,United Kindgom
Power BI Developer,Avanti,"Reading, Berkshire","£50,000 per annum",Y,50000.0,Reading,Berkshire
Business Development Manager,OPTO TALENT LTD,London,"£40,000 - £60,000 per annum, OTE, negotiable",N,40000.0,London,United Kindgom
Independent Financial Adviser (,Fintuity Limited,London,"£40,000 - £100,000 per annum",N,40000.0,London,United Kindgom
Business Development Manager,OPTO TALENT LTD,London,"£40,000 - £60,000 per annum",N,40000.0,London,United Kindgom
Asset Management Coordinator’,Vermelo RPO,"Tunbridge Wells, Kent",Salary negotiable,N,,Tunbridge Wells,Kent
